IDX,Type,M,N,W,H,I,J,STRIDE,P,#Weight,CONV,MM,EWOP,Layer
1,CONV,64,3,112,112,7,7,2,1,9408,118013952,0,802816,1
2,CONV,192,64,56,56,3,3,1,1,110592,346816512,0,602112,3
3,CONV,64,192,28,28,1,1,1,1,12288,9633792,0,50176,4
4,CONV,32,16,28,28,5,5,1,1,12800,10035200,0,25088,8
5,CONV,128,256,28,28,1,1,1,1,32768,25690112,0,100352,11
6,CONV,192,128,28,28,3,3,1,1,221184,173408256,0,150528,12
7,CONV,64,256,28,28,1,1,1,1,16384,12845056,0,50176,15
8,CONV,192,480,14,14,1,1,1,1,92160,18063360,0,37632,16
9,CONV,208,96,14,14,3,3,1,1,179712,35223552,0,40768,18
