Exp.,D3,D2,D1,LUT,FF,BRAM36,DSP,Frequency,Device,LUTRatio,FFRatio,BRAMRatio,DSPRatio
1,3,1,24,4496,4059,42,72,684.46,xcvu125,0.0063,0.0038,0.0167,0.0600
2,3,3,24,11821,11613,126,216,675.68,xcvu125,0.0165,0.0108,0.0500,0.1800
3,3,5,24,19147,19167,210,360,676.59,xcvu125,0.0267,0.0178,0.0833,0.3000
4,4,5,24,25532,25556,280,480,680.74,xcvu125,0.0357,0.0238,0.1111,0.4000
5,6,5,24,38296,38334,420,720,680.74,xcvu125,0.0535,0.0357,0.1667,0.6000
6,8,5,24,51060,51112,560,960,678.43,xcvu125,0.0713,0.0475,0.2222,0.8000
7,10,5,24,63823,63890,700,1200,672.95,xcvu125,0.0891,0.0594,0.2778,1.0000
