Config,D1,D2,D3,N_ACT,N_W,N_PSUM
1,8,10,10,32,1024,1024
2,8,10,10,64,1024,1024
3,8,10,10,128,1024,1024
4,8,10,10,64,1024,2048
5,8,10,10,64,1024,4906
6,8,10,10,64,2048,1024
7,8,10,10,64,2048,2048
